NAME;OPENING_YEAR;ARCHITECT;HOLES;PAIRS;FACILITIES;IS_CLUB_HOUSE;IS_ACADEMY;WEBSITE;LOCAL;COUNTY;DISTRICT;LATITUDE;LONGITUDE
Campo de Golfe da Curia;2004;Jorge Santana da Silva;9;35;Putting Green, Chipping Green, Trolleys, Aluguer de Tacos, Loja e Bar.;1;1;http://www.portugalgolf.pt/campos/centro/curia_menu.htm;União das freguesias de Tamengos, Aguim e Óis do Bairro;Anadia;Aveiro;40.4225098313542;-8.4593870086234
Montebelo Golfe;1997;Marc Stilwell e Malcolm Kenyon;27;72;Driving Range, Putting Green, Chipping Green, Buggies, Trolleys, Caddies, Aluguer de Tacos, Loja, Restaurante, Bar, Centro Hípico.;1;1;http://www.golfemontebelo.pt/;União das freguesias de Boa Aldeia, Farminhão e Torredeita, União das freguesias de São Miguel do Outeiro e Sabugosa;Tondela, Viseu;Viseu;40.6101117660532;-8.0378932301344
Oporto Golf Club;1890;Desconhecido;18;73;Driving Range, Putting Green, Chipping Green, Trolleys, Caddies, Aluguer de Tacos, Loja, Restaurante, Bar, Sauna;1;0;http://www.oportogolfclub.com/pt/;Paramos, Silvalde;Espinho;Aveiro;40.9899480873828;-8.640839419792
Estela Golf Club;1988;Duarte Sotto-Mayor;18;72;Driving Range, Putting Green, Chipping Green, Buggies, Trolleys, Aluguer de Tacos, Loja, Restaurante, Bar, Sauna;1;1;http://www.estelagolf.pt/home;Estela;Póvoa de Varzim;Porto;41.4564840081179;-8.7766957240946
Campo de Golf de Amarante;1997;Jorge Santana da Silva;18;68;Driving Range, Putting Green, Chipping Green, Buggies, Trolleys, Aluguer de Tacos, Loja, Restaurante, Bar, Estacionamento, Esplanada;1;1;http://www.golfedeamarante.com/;Fregim, Louredo (Amarante);Amarante;Porto;41.2532965507141;-8.1107685065329
Golfe da Quinta do Fojo;1997;Duarte Sottomayor;6;20;Driving Range, Putting Green, Chipping Green, Trolleys, Aluguer de Tacos, Loja, Restaurante, Bar, Parque de Estacionamento;1;1;http://www.golfojo.com;Canidelo;Vila Nova de Gaia;Porto;41.1243872444793;-8.6361514279546
Club de Golf de Miramar;1932;Mackensie Ross e Howard Swan;9;35;Driving Range, Putting Green, Trolleys, Aluguer de Tacos, Loja, Restaurante, Bar, Piscina;1;1;http://www.cgm.pt/;Arcozelo (Vila Nova de Gaia);Vila Nova de Gaia;Porto;41.0624113558797;-8.653725457268
Áxis Golfe de Ponte de Lima;1995;David e Daniel Silva;18;71;Driving Range, Putting Green, Chipping Green, Buggies, Trolleys, Aluguer de Tacos, Loja, Restaurante, Bar, Hotel, Sauna, Piscina, Ténis, Snack Bar.;1;1;http://www.axishoteis.com/pt/Axis-Hoteis/Homepage.aspx;Arca e Ponte de Lima, Feitosa, Fornelos e Queijada;Ponte de Lima;Viana do Castelo;41.7513813473474;-8.573944128403
Golfe Quinta da Barca;1997;Jorge Santana da Silva;9;31;Driving Range, Putting Green, Chipping Green, Buggies, Trolleys, Aluguer de Tacos, Loja, Restaurante;1;1;http://www.golfebarca.com/;Gemeses, União das freguesias de Esposende, Marinhas e Gandra;Esposende;Braga;41.5172534552478;-8.7458367765403
Balaia Golf Village;2001;Southern Golf;9;27;Buggies, Trolleys, Aluguer de Ferros, Restaurante, Driving Range, Chipping Green, Putting Green, Loja, Ténis, Piscina;0;1;http://www.balaiagolfvillage.com/golf/;Albufeira e Olhos de Água;Albufeira;Faro;37.0978050358438;-8.20669396689
Santo António Villas, Golf & Spa;1987;Pepe Gancedo;18;71;Driving range, putting green, chipping green, buggies, trolleys, aluguer de tacos, loja, restaurante, bar, sauna, piscina, ténis, spa, kid's club, futebol;1;1;http://www.saresorts.com/golf-santo-antonio;Budens;Vila do Bispo;Faro;37.0864583447309;-8.8424247680888
Boavista Golf;2002;Howard Swan;18;71;Driving Range, Putting Green, Chipping Green, Buggies, Trolleys, Aluguer de tacos, Loja, Restaurante, Bar, Sauna, Futebol, Piscina, Ténis, Spa;1;1;http://www.boavistaresort.pt/golf/boavista-golf;São Gonçalo de Lagos;Lagos;Faro;37.0982451677195;-8.7045810021979
Morgado Golf Course;2003;European Golf Design;18;73;Buggies, Trolleys, Aluguer de Ferros, Restaurante, Driving Range, Putting Green, Chipping Green, Loja;1;1;www.cshotelsandresorts.com;Portimão;Portimão;Faro;37.1947119190596;-8.5683047131812
Pestana Alto Golf;1997;Sir Henry Cotton;18;72;Buggies, Trolleys, Aluguer de Ferros, Restaurante, Driving Range, Putting Green, Loja, Telefone;1;1;www.pestanagolf.com;Alvor, Portimão;Portimão;Faro;37.1269287828581;-8.5658302574463
Pinta Golfe Course;1992;Ronald Fream;18;71;Buggies, Trolleys, Aluguer de Ferros, Restaurante, Driving Range, Caddies, Putting Green, Chipping Green, Loja, Telefone, Piscina;0;1;www.pestanagolf.com;União das freguesias de Estômbar e Parchal, União das freguesias de Lagoa e Carvoeiro;Lagoa;Faro;37.1333361239384;-8.4749059515295
Gramacho Golf Course;1991;Nick Price e Ronald Fream;18;72;Buggies, Trolleys, Aluguer de Ferros, Restaurante, Driving Range, Caddies, Putting Green, Chipping Green, Loja, Telefone, Piscina;0;1;www.pestanagolf.com;União das freguesias de Estômbar e Parchal;Lagoa;Faro;37.1258713834411;-8.4876796657678
Oceânico O' Connor Jnr. Golf Course;2008;Christy O' Connor Jr.;18;72;Buggies, Trolleys, Aluguer de Ferros, Restaurante, Driving Range, Telefone, Putting Green, Chipping Green, Loja, Futebol, Ténis;1;1;www.oceanicogolf.com;União das freguesias de Alcantarilha e Pêra;Silves;Faro;37.156927365233;-8.3582395601467
Pine Cliffs Golf & Country Club;1992;Martin  Hawtree;9;32;Trolleys, Aluguer de Ferros, Restaurante, Driving Range, Telefone, Putting Green, Chipping Green, Loja, Ténis, Piscina;1;1;www.cshotelsandresorts.com;Albufeira e Olhos de Água;Albufeira;Faro;37.091097196431;-8.1729884444824
Dom Pedro Old Course Golf Club;1969;Frank Pennink;18;72;Buggy Bar, Loja de Golfe, Bar / Restaurante, Campo de Treino, Putting Green, Valet Service, Wi-Fi Gratuito;1;0;http://www.dompedrogolf.com/pt/campos/the-old-course-golf-club/;Quarteira;Loulé;Faro;37.0997186313775;-8.1145414446591
Dom Pedro Pinhal Golf Course;1976;Frank Pennink;18;72;Buggy Bar, Loja de Golfe, Bar / Restaurante, Campo de Treino, Putting Green, Wi-Fi Gratuito;1;0;http://www.dompedrogolf.com/pt/campos/pinhal-golf-course/;Quarteira;Loulé;Faro;37.0923654190787;-8.1110137126309
Pestana Vila Sol Golf;1991;Donald Steel;27;72;Buggies, Trolleys, Aluguer de Ferros, Telefone, Restaurante, Driving Range, Putting Green, Chiping Green, Loja, Piscina, Ténis ,Bar;1;1;www.pestanagolf.com;Quarteira;Loulé;Faro;37.0881739246821;-8.0933425087288
Ocean Golf Course;1968;Sir Henry Cotton;18;73;Buggies, Trolleys, Aluguer de Ferros, Restaurante, Telefone, Ténis, Putting Green, Chiping Green, Loja, Bar, Spa;1;1;www.valedolobo.com;Almancil, Quarteira;Loulé;Faro;37.0550941690937;-8.0645121147481
Royal Golf Course;1968;Rocky Roquemore;18;72;Buggies, Trolleys, Aluguer de Ferros, Restaurante, Chipping Green, Putting Green ,Loja, Telefone, Ténis, Spa, Bar;1;1;www.valedolobo.com;Almancil;Loulé;Faro;37.0550941690937;-8.0645121147481
San Lorenzo Golf Course;1988;Joseph Lee;18;72;Buggies, Trolleys, Aluguer de Ferros, Telefone, Restaurante, Driving Range, Chipping Range, Loja, Caddies;1;1;www.sanlorenzogolfcourse.com/;Almancil;Loulé;Faro;37.031339617615;-8.0115986456993
Quinta do Lago Sul;1974;William Mitchell;18;72;Buggies, Trolleys, Aluguer de Ferros, Telefone, Restaurante, Driving Range, ChIpping Green, Putting Green, Loja, Bar;1;1;www.quintadolago.com;Almancil;Loulé;Faro;37.0459299894845;-8.0178268767166
Quinta do Lago Norte;1974;Beau Welling;18;72;Buggies, Trolleys, Aluguer de Ferros, Telefone, Restaurante, Driving Range, ChIpping Green, Putting Green, Loja, Bar;1;1;www.quintadolago.com;Almancil;Loulé;Faro;37.0459299894845;-8.0178268767166
Pinheiros Altos;1992;Ronald Fream e Jorge Santana da Silva;27;72;Buggies, Caddies, Trolleys, Aluguer de Ferros, Telefone, Restaurante, Driving Range, Putting Green, Chipping Green, Loja;1;1;www.quintadolago.com;Almancil;Loulé;Faro;37.0448329333191;-8.0087654050999
Benamor Golf;2000;Sir Henry Cotton;18;71;Buggies, Trolleys, Aluguer de Ferros, Telefone, Restaurante, Driving Range, Putting Green, Chipping Green, Loja;0;1;www.golfbenamor.com;União das freguesias de Conceição e Cabanas de Tavira;Tavira;Faro;37.1524542963955;-7.6087749347847
